AY Start,AY End,Semester ,Program,Male,Female
2025,2026,Second,BACHELOR OF ARTS IN COMMUNICATION,33,64
2025,2026,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,20,64
2025,2026,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,101,125
2025,2026,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,9,75
2025,2026,Second,BACHELOR OF MUSIC IN MUSIC EDUCATION,44,46
2025,2026,Second,BACHELOR OF SCIENCE IN BIOLOGY,94,217
2025,2026,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,452,191
2025,2026,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,33,138
2025,2026,First,BACHELOR OF ARTS IN COMMUNICATION,37,64
2025,2026,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,21,65
2025,2026,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,105,127
2025,2026,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,11,80
2025,2026,First,BACHELOR OF MUSIC IN MUSIC EDUCATION,48,49
2025,2026,First,BACHELOR OF SCIENCE IN BIOLOGY,98,219
2025,2026,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,455,192
2025,2026,First,BACHELOR OF SCIENCE IN SOCIAL WORK,34,139
2024,2025,First,BACHELOR OF ARTS IN COMMUNICATION,34,59
2024,2025,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,19,56
2024,2025,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,102,128
2024,2025,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,20,97
2024,2025,First,BACHELOR OF MUSIC IN MUSIC EDUCATION,34,40
2024,2025,First,BACHELOR OF SCIENCE IN BIOLOGY,94,198
2024,2025,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,416,208
2024,2025,First,BACHELOR OF SCIENCE IN SOCIAL WORK,32,154
2024,2025,Second,BACHELOR OF ARTS IN COMMUNICATION,33,58
2024,2025,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,20,59
2024,2025,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,98,127
2024,2025,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,16,91
2024,2025,Second,BACHELOR OF MUSIC IN MUSIC EDUCATION,33,35
2024,2025,Second,BACHELOR OF SCIENCE IN BIOLOGY,89,189
2024,2025,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,401,190
2024,2025,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,31,151
2024,2025,Summer,BACHELOR OF MUSIC IN MUSIC EDUCATION,0,1
2024,2025,Summer,BACHELOR OF SCIENCE IN BIOLOGY,2,1
2024,2025,Summer,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,35,20
2023,2024,First,BACHELOR OF ARTS IN COMMUNICATION,29,62
2023,2024,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,17,60
2023,2024,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,97,138
2023,2024,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,14,93
2023,2024,First,BACHELOR OF MUSIC IN MUSIC EDUCATION,26,33
2023,2024,First,BACHELOR OF SCIENCE IN BIOLOGY,70,164
2023,2024,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,366,187
2023,2024,First,BACHELOR OF SCIENCE IN SOCIAL WORK,33,161
2023,2024,Second,BACHELOR OF ARTS IN COMMUNICATION,29,63
2023,2024,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,15,61
2023,2024,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,94,136
2023,2024,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,14,93
2023,2024,Second,BACHELOR OF MUSIC IN MUSIC EDUCATION,24,28
2023,2024,Second,BACHELOR OF SCIENCE IN BIOLOGY,70,152
2023,2024,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,354,182
2023,2024,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,33,159
2023,2024,Summer,BACHELOR OF ARTS IN COMMUNICATION,8,11
2023,2024,Summer,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,3,15
2023,2024,Summer,BACHELOR OF SCIENCE IN BIOLOGY,2,0
2023,2024,Summer,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,67,26
2022,2023,First,BACHELOR OF ARTS IN COMMUNICATION,33,62
2022,2023,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,18,64
2022,2023,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,119,173
2022,2023,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,16,94
2022,2023,First,BACHELOR OF MUSIC IN MUSIC EDUCATION,14,30
2022,2023,First,BACHELOR OF SCIENCE IN BIOLOGY,64,134
2022,2023,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,331,181
2022,2023,First,BACHELOR OF SCIENCE IN SOCIAL WORK,29,165
2022,2023,Second,BACHELOR OF ARTS IN COMMUNICATION,32,56
2022,2023,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,16,55
2022,2023,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,111,167
2022,2023,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,14,93
2022,2023,Second,BACHELOR OF MUSIC IN MUSIC EDUCATION,15,22
2022,2023,Second,BACHELOR OF SCIENCE IN BIOLOGY,60,126
2022,2023,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,320,166
2022,2023,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,29,159
2021,2022,First,BACHELOR OF ARTS IN COMMUNICATION,37,76
2021,2022,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,17,64
2021,2022,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,110,167
2021,2022,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,13,94
2021,2022,First,BACHELOR OF SCIENCE IN BIOLOGY,54,103
2021,2022,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,310,159
2021,2022,First,BACHELOR OF SCIENCE IN SOCIAL WORK,46,229
2021,2022,Second,BACHELOR OF ARTS IN COMMUNICATION,34,69
2021,2022,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,16,60
2021,2022,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,106,160
2021,2022,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,13,90
2021,2022,Second,BACHELOR OF SCIENCE IN BIOLOGY,47,94
2021,2022,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,280,148
2021,2022,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,38,189
2021,2022,Summer,BACHELOR OF ARTS IN COMMUNICATION,4,18
2021,2022,Summer,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,69,42
2020,2021,First,BACHELOR OF ARTS IN COMMUNICATION,31,65
2020,2021,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,14,43
2020,2021,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,101,134
2020,2021,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,16,62
2020,2021,First,BACHELOR OF SCIENCE IN BIOLOGY,33,50
2020,2021,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,340,163
2020,2021,First,BACHELOR OF SCIENCE IN SOCIAL WORK,45,224
2020,2021,Second,BACHELOR OF ARTS IN COMMUNICATION,30,62
2020,2021,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,14,44
2020,2021,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,97,130
2020,2021,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,15,60
2020,2021,Second,BACHELOR OF SCIENCE IN BIOLOGY,30,47
2020,2021,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,318,170
2020,2021,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,35,183
2019,2020,First,BACHELOR OF ARTS IN COMMUNICATION,26,44
2019,2020,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,13,28
2019,2020,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,87,106
2019,2020,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,11,48
2019,2020,First,BACHELOR OF SCIENCE IN BIOLOGY,29,41
2019,2020,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,318,174
2019,2020,First,BACHELOR OF SCIENCE IN SOCIAL WORK,37,163
2019,2020,Second,BACHELOR OF ARTS IN COMMUNICATION,25,43
2019,2020,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,13,28
2019,2020,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,76,91
2019,2020,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,11,45
2019,2020,Second,BACHELOR OF SCIENCE IN BIOLOGY,25,37
2019,2020,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,282,169
2019,2020,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,38,155
2019,2020,Summer,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,7,7
2018,2019,First,BACHELOR OF ARTS IN COMMUNICATION,30,41
2018,2019,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,15,35
2018,2019,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,57,76
2018,2019,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,10,49
2018,2019,First,BACHELOR OF SCIENCE IN BIOLOGY,23,33
2018,2019,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,271,197
2018,2019,First,BACHELOR OF SCIENCE IN SOCIAL WORK,23,138
2018,2019,Second,BACHELOR OF ARTS IN COMMUNICATION,28,38
2018,2019,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,15,30
2018,2019,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,56,74
2018,2019,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,8,47
2018,2019,Second,BACHELOR OF SCIENCE IN BIOLOGY,21,34
2018,2019,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,250,177
2018,2019,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,22,132
2018,2019,Summer,BACHELOR OF ARTS IN COMMUNICATION,1,1
2018,2019,Summer,BACHELOR OF ARTS IN POLITICAL SCIENCE,0,1
2018,2019,Summer,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,0,2
2018,2019,Summer,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,41,49
2017,2018,First,BACHELOR OF ARTS IN COMMUNICATION,20,50
2017,2018,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,16,41
2017,2018,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,33,70
2017,2018,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,11,60
2017,2018,First,BACHELOR OF SCIENCE IN BIOLOGY,10,32
2017,2018,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,169,154
2017,2018,First,BACHELOR OF SCIENCE IN SOCIAL WORK,13,73
2017,2018,Second,BACHELOR OF ARTS IN COMMUNICATION,19,45
2017,2018,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,16,40
2017,2018,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,33,69
2017,2018,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,11,59
2017,2018,Second,BACHELOR OF SCIENCE IN BIOLOGY,12,30
2017,2018,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,163,150
2017,2018,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,13,75
2017,2018,Summer,BACHELOR OF ARTS IN COMMUNICATION,0,1
2017,2018,Summer,BACHELOR OF SCIENCE IN BIOLOGY,2,2
2017,2018,Summer,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,21,30
2016,2017,First,BACHELOR OF ARTS IN COMMUNICATION,30,80
2016,2017,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,20,66
2016,2017,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,57,132
2016,2017,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,16,82
2016,2017,First,BACHELOR OF SCIENCE IN BIOLOGY,21,52
2016,2017,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,192,197
2016,2017,First,BACHELOR OF SCIENCE IN SOCIAL WORK,20,130
2016,2017,Second,BACHELOR OF ARTS IN COMMUNICATION,32,77
2016,2017,Second,BACHELOR OF ARTS IN ENGLISH LANGUAGE,18,64
2016,2017,Second,BACHELOR OF ARTS IN POLITICAL SCIENCE,53,110
2016,2017,Second,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,15,82
2016,2017,Second,BACHELOR OF SCIENCE IN BIOLOGY,19,52
2016,2017,Second,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,184,192
2016,2017,Second,BACHELOR OF SCIENCE IN SOCIAL WORK,20,119
2016,2017,Summer,BACHELOR OF ARTS IN ENGLISH LANGUAGE,0,1
2016,2017,Summer,BACHELOR OF ARTS IN POLITICAL SCIENCE,1,4
2016,2017,Summer,BACHELOR OF SCIENCE IN BIOLOGY,1,1
2016,2017,Summer,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,4,0
2015,2016,First,BACHELOR OF ARTS IN COMMUNICATION,40,116
2015,2016,First,BACHELOR OF ARTS IN ENGLISH LANGUAGE,28,97
2015,2016,First,BACHELOR OF ARTS IN POLITICAL SCIENCE,104,195
2015,2016,First,BACHELOR OF LIBRARY AND INFORMATION SCIENCE,24,130
2015,2016,First,BACHELOR OF SCIENCE IN BIOLOGY,33,76
2015,2016,First,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,210,227
2015,2016,First,BACHELOR OF SCIENCE IN SOCIAL WORK,25,181
